# R,G,B per-pixel dark offset
941.05,643.02,585.37
938.13,640.74,583.92
938.39,641.62,586.82
942.59,641.94,583.64
935.88,642.97,583.98
937.89,637.85,587.60
937.25,641.46,588.59
940.68,643.29,587.48
937.59,641.15,589.30
939.88,643.13,585.40
937.75,641.34,598.15
936.77,643.73,588.87
941.71,641.06,585.47
938.75,642.25,586.88
938.23,643.37,587.72
941.74,640.39,587.59
939.75,639.24,586.47
936.28,659.85,586.42
936.52,643.33,587.74
936.28,640.66,586.04
944.64,642.32,583.82
946.88,643.03,586.03
938.46,642.33,586.29
939.26,643.19,584.11
939.90,640.52,593.80
939.26,640.45,589.16
940.16,643.15,584.41
939.09,641.53,586.66
938.42,644.38,589.09
937.38,642.02,587.39
938.43,643.43,585.96
940.90,644.24,587.46
936.35,644.06,586.81
941.14,645.23,587.56
939.26,640.83,587.51
939.16,642.20,589.33
936.91,644.01,585.69
938.23,642.22,586.68
938.90,641.74,587.95
940.56,642.84,587.56
939.10,644.68,589.85
936.85,643.18,588.49
938.08,641.33,587.91
940.48,648.99,586.63
938.53,642.63,585.94
941.22,643.18,587.34
939.42,642.88,584.58
939.73,640.70,586.65
940.71,641.12,587.57
937.31,641.49,586.71
941.73,643.75,586.17
938.11,641.90,585.83
936.80,642.65,587.52
938.27,641.17,585.68
939.75,649.93,587.10
937.80,642.27,586.50
940.64,642.77,587.32
940.03,644.20,585.63
940.23,642.51,587.32
938.28,641.78,585.91
938.91,642.57,586.48
940.05,641.73,594.87
941.87,644.74,588.03
941.36,642.35,587.48
942.66,643.93,586.29
941.24,644.36,587.39
943.80,642.66,588.55
939.74,646.25,588.99
944.59,644.92,587.99
942.90,643.90,587.53
944.68,646.37,587.37
944.66,644.35,589.79
940.58,646.84,589.97
943.20,643.44,587.83
942.91,646.79,593.53
944.77,642.10,592.83
959.45,642.66,588.23
942.90,644.43,588.33
941.27,645.58,588.72
947.10,645.54,591.67
945.20,646.38,591.50
944.50,645.78,590.37
946.28,645.55,589.52
944.92,646.43,587.27
955.14,653.98,593.23
949.73,646.03,588.76
947.26,653.23,590.79
944.74,647.05,591.19
959.27,647.16,591.96
946.70,649.84,591.58
947.84,648.14,593.89
947.37,645.60,590.28
955.60,647.54,591.61
949.58,653.01,595.29
948.00,646.60,589.68
948.11,647.50,600.32
948.48,649.17,592.19
949.00,648.07,591.14
946.30,647.18,588.69
947.95,647.55,589.86
949.27,646.19,593.86
951.90,649.24,594.63
951.25,648.34,591.79
948.92,647.79,595.31
946.35,648.61,591.67
950.90,648.49,592.84
949.87,655.98,591.57
950.12,651.25,592.09
950.56,649.88,593.76
951.00,651.32,595.54
950.73,647.08,596.15
951.90,649.60,591.33
950.60,647.74,592.65
950.50,648.70,593.70
950.71,650.46,592.59
950.25,648.27,592.38
950.56,647.73,594.53
951.40,647.43,595.45
950.36,647.37,591.68
949.00,648.99,590.47
950.24,648.76,591.32
948.40,648.87,617.49
953.70,650.13,595.36
950.19,647.54,592.01
948.82,648.08,592.09
949.57,647.61,590.69
951.33,648.36,593.24
949.03,646.82,593.46
948.55,650.80,591.30
948.37,646.03,592.92
948.62,647.22,591.55
948.67,649.11,591.69
952.45,644.68,592.10
948.50,647.50,597.28
963.24,647.20,593.26
947.73,647.31,591.95
950.54,647.77,592.48
949.23,648.06,592.75
948.44,672.28,592.76
956.89,646.79,591.32
946.95,649.03,590.59
948.90,647.91,603.88
